rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,Num Cands,Num Seats
21,21,21,21,21,21,21,21,21,21,21,21,21,1,21,21,21,21,21,21,21,21.0,Unknown
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,1,21,,Unknown
21,21,21,21,21,21,21,21,21,21,21,21,21,1,21,21,21,21,21,21,21,,Unknown
21,21,21,1,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,,Unknown
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,,Unknown
18,14,20,17,6,9,3,21,12,5,10,7,4,13,19,8,2,16,15,1,11,,Unknown
21,21,21,21,1,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,,Unknown
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,,Unknown
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,,Unknown
21,4,12,11,8,5,10,17,6,14,13,16,2,7,19,15,3,6,20,1,18,,Unknown
21,2,21,21,21,21,21,21,21,21,21,21,21,21,21,21,3,21,21,1,21,,Unknown
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,1,21,21,21,21,21,,Unknown
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,,Unknown
19,15,4,18,2,1,8,20,10,5,17,11,3,6,12,16,9,21,14,13,7,,Unknown
12,8,19,18,7,6,10,20,3,13,11,5,1,9,21,16,4,14,17,2,15,,Unknown
21,21,21,21,21,21,21,21,21,21,21,21,21,1,21,21,21,21,21,21,21,,Unknown
21,21,21,21,21,21,21,21,21,21,21,21,21,1,21,21,21,21,21,21,21,,Unknown
21,21,21,21,21,21,21,21,2,21,21,21,1,21,21,21,21,21,21,3,21,,Unknown
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,,Unknown
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,,Unknown
5,20,18,8,1,20,17,19,20,6,20,10,3,21,21,20,4,21,21,2,21,,Unknown
18,16,17,19,10,14,5,12,6,8,11,1,4,13,9,15,2,20,21,3,7,,Unknown
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,,Unknown
21,21,21,1,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,,Unknown
21,21,21,21,21,21,21,21,21,21,21,21,21,1,21,21,21,21,21,21,21,,Unknown
21,21,21,21,21,21,21,21,21,21,21,21,21,1,21,21,21,21,21,21,21,,Unknown
21,21,21,21,4,21,3,21,21,21,21,21,1,5,21,21,2,21,21,6,21,,Unknown
15,12,20,7,11,16,4,21,5,19,3,6,13,9,17,18,2,14,8,1,10,,Unknown
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,,Unknown
21,21,21,21,2,21,21,21,21,21,21,21,2,5,21,21,21,1,21,1,21,,Unknown
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,,Unknown
14,14,14,3,5,14,3,14,21,14,14,14,7,6,14,14,2,14,14,1,14,,Unknown
21,21,21,21,21,21,21,21,6,21,21,5,1,21,3,21,4,21,21,2,21,,Unknown
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,,Unknown
21,21,21,21,4,5,3,21,21,21,21,21,1,21,21,21,2,21,21,21,21,,Unknown
17,20,5,6,2,11,15,13,19,14,4,12,8,7,9,18,10,16,21,1,3,,Unknown
21,21,21,21,21,21,21,21,21,21,21,21,21,1,21,21,21,21,21,21,21,,Unknown
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,,Unknown
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,,Unknown
11,16,19,7,9,13,4,18,2,3,14,15,1,10,20,17,5,6,21,8,12,,Unknown
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,,Unknown
21,16,18,21,8,20,5,20,6,19,14,18,2,12,21,18,6,21,18,1,10,,Unknown
21,21,21,21,21,21,21,21,21,21,21,21,21,1,21,21,21,21,21,21,21,,Unknown
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,,Unknown
21,21,21,21,21,21,21,21,21,21,21,21,21,1,21,21,21,21,21,21,21,,Unknown
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,,Unknown
