rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,Num Cands,Num Seats
8,8,1,8,8,8,8,8,8.0,1.0
4,3,5,4,2,5,1,5,,
8,6,1,7,5,4,2,3,,
5,1,3,4,8,6,2,7,,
8,8,8,1,8,8,8,8,,
2,1,8,8,8,3,8,8,,
8,8,8,1,8,8,8,8,,
8,8,8,1,8,8,8,8,,
6,2,3,5,7,1,4,8,,
8,8,8,1,8,8,8,8,,
8,8,8,1,8,8,8,8,,
8,1,8,8,8,8,2,8,,
8,8,8,8,8,8,8,1,,
1,2,8,8,8,8,8,8,,
8,8,8,1,8,8,2,8,,
8,8,8,1,8,8,2,8,,
8,1,3,8,8,8,2,8,,
2,8,6,4,7,1,5,3,,
1,2,7,8,5,6,3,4,,
7,2,6,3,8,5,1,4,,
8,1,2,8,8,8,3,8,,
8,2,8,8,8,8,1,8,,
4,8,8,3,1,8,8,1,,
8,8,4,1,8,8,8,8,,
1,8,7,8,8,8,8,8,,
4,5,7,1,3,6,2,8,,
2,1,8,8,8,8,1,8,,
8,8,8,8,8,1,8,8,,
8,8,8,1,8,8,8,8,,
6,4,3,2,8,7,5,1,,
8,8,8,8,8,8,8,8,,
8,8,8,1,8,8,8,8,,
2,1,3,3,3,2,2,3,,
8,8,8,2,8,8,1,8,,
4,4,8,7,1,3,7,1,,
8,1,2,8,8,8,8,8,,
8,2,8,1,8,8,8,8,,
