rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,numSeats,numCands
5,11,10,8,1,3,6,2,7,9,4,1.0,11.0
11,11,11,11,3,1,11,2,11,11,11,,
11,11,11,11,11,2,1,4,11,3,11,,
8,7,3,11,10,9,2,6,5,1,4,,
4,3,1,5,11,7,2,11,6,2,11,,
11,3,11,1,4,11,11,11,2,11,11,,
11,11,11,11,11,1,11,11,11,11,11,,
5,11,4,6,7,8,2,1,9,10,3,,
5,2,1,11,10,6,4,9,8,3,7,,
7,1,4,11,9,6,2,10,3,5,8,,
7,3,1,11,6,2,10,4,9,5,8,,
5,8,11,10,9,2,6,7,4,1,3,,
5,11,11,11,11,4,2,11,6,1,3,,
6,2,5,11,8,1,4,9,7,4,3,,
9,8,2,11,10,5,4,3,6,7,1,,
3,11,2,11,11,1,11,11,2,11,11,,
7,9,5,11,10,4,6,2,3,8,1,,
1,9,11,8,7,6,2,10,3,4,5,,
3,10,5,11,9,7,6,4,8,2,1,,
11,11,1,11,11,11,2,3,11,4,11,,
5,9,1,8,10,4,11,7,6,2,3,,
10,8,4,11,9,3,6,5,7,1,2,,
11,11,1,11,11,11,11,11,2,11,11,,
9,9,4,9,11,1,3,10,2,5,9,,
3,8,10,1,9,6,5,2,7,11,4,,
11,11,11,11,11,11,11,1,2,11,11,,
6,5,2,9,8,3,7,1,4,11,10,,
2,10,11,8,9,3,7,4,5,1,6,,
5,10,8,11,9,3,7,6,4,1,2,,
6,3,7,2,5,11,4,1,10,9,8,,
5,6,7,11,9,3,8,10,1,4,2,,
5,8,11,9,3,1,6,4,2,10,7,,
3,4,8,2,6,7,1,5,10,11,9,,
11,11,5,11,6,11,2,1,6,3,4,,
1,5,1,11,10,4,1,6,2,7,3,,
10,4,1,11,8,2,5,3,7,9,6,,
